Categorie;isRestaurant
Doctors;0
Dog Parks;0
Dog Walkers;0
Do-It-Yourself Food;1
Dominican;1
Donairs;1
Donation Center;0
Donuts;1
Door Sales/Installation;0
Doulas;0
Drama Schools;0
Drive-In Theater;0
Drive-Thru Bars;1
Driving Schools;0
Drones;0
Drugstores;0
Dry Cleaning;0
Dry Cleaning & Laundry;0
Drywall Installation & Repair;0
DUI Law;0
Dumplings;1
Dumpster Rental;0
Duplication Services;0
Duty-Free Shops;0
Ear Nose & Throat;0
Eastern European;1
Eatertainment;1
Editorial Services;0
Education;0
Educational Services;0
Egyptian;1
Elder Care Planning;0
Elder Law;0
Electricians;0
Electricity Suppliers;0
Electronics;0
Electronics Repair;0
Elementary Schools;0
Elevator Services;0
Embassy;0
Embroidery & Crochet;0
Emergency Medicine;0
Emergency Pet Hospital;0
Emergency Rooms;0
Empanadas;1
Employment Agencies;0
Employment Law;0
Endocrinologists;0
Endodontists;0
Engraving;0
Entertainment Law;0
Environmental Abatement;0
Environmental Testing;0
Eritrean;1
Erotic Massage;0
Escape Games;0
Estate Liquidation;0
Estate Planning Law;0
Estheticians;0
Ethical Grocery;0
Ethiopian;1
Ethnic Food;1
Ethnic Grocery;0
EV Charging Stations;0
Event Photography;0
Event Planning & Services;1
Excavation Services;0
Experiences;0
Eyebrow Services;0
Eyelash Service;0
Eyewear & Opticians;0
Fabric Stores;0
Face Painting;0
Falafel;1
Family Practice;0
Farm Equipment Repair;0
Farmers Market;1
Farming Equipment;0
Farms;0
Fashion;1
Fast Food;1
Fences & Gates;0
Fencing Clubs;0
Feng Shui;0
Fertility;0
Festivals;1
Filipino;1
Financial Advising;0
Financial Services;0
Fingerprinting;0
Fire Departments;0
Fire Protection Services;0
Firearm Training;0
Fireplace Services;0
Firewood;0
Fireworks;0
First Aid Classes;0
Fish & Chips;1
Fishing;0
Fitness & Instruction;0
Fitness/Exercise Equipment;0
Flea Markets;0
Flight Instruction;0
Float Spa;0
Flooring;0
Floral Designers;0
Florists;1
Flowers;0
Flowers & Gifts;1
Flyboarding;0
Fondue;1
Food;1
Food Banks;1
Food Court;1
Food Delivery Services;1
Food Safety Training;1
Food Stands;1
Food Tours;1
Food Trucks;1
Foot Care;0
Formal Wear;0
Foundation Repair;0
Framing;0
Free Diving;0
French;1
Fruits & Veggies;1
Fuel Docks;0
Funeral Services & Cemeteries;0
Fur Clothing;0
Furniture Assembly;0
Furniture Rental;0
Furniture Repair;0
Furniture Reupholstery;0
Furniture Stores;0
Game Meat;1
Game Truck Rental;0
Garage Door Services;0
Gardeners;0
Gas Stations;0
Gastroenterologist;0
Gastropubs;1
Gay Bars;1
Gelato;1
Gemstones & Minerals;0
General Dentistry;0
General Festivals;0
General Litigation;0
Generator Installation/Repair;0
Geneticists;0
German;1
Gerontologists;0
Gift Shops;0
Glass & Mirrors;0
Glass Blowing;0
Gluten-Free;1
Go Karts;0
Gold Buyers;0
Golf;0
Golf Cart Dealers;0
Golf Cart Rentals;0
Golf Equipment;0
Golf Equipment Shops;0
Golf Lessons;0
Graphic Design;0
Greek;1
Grill Services;0
Grilling Equipment;0
Grocery;1
Grout Services;0
Guamanian;1
Guest Houses;0
Guitar Stores;0
Gun/Rifle Ranges;0
Guns & Ammo;0
Gunsmith;0
Gutter Services;0
Gymnastics;0
Gyms;1
Habilitative Services;0
Hainan;1
Hair Extensions;0
Hair Loss Centers;0
Hair Removal;0
Hair Salons;0
Hair Stylists;0
Haitian;1
Hakka;1
Halal;1
Halfway Houses;0
Halotherapy;0
Handyman;0
Hang Gliding;0
Hardware Stores;0
Hats;0
Haunted Houses;0
Hawaiian;1
Hazardous Waste Disposal;0
Head Shops;0
Health & Medical;0
Health Coach;0
Health Insurance Offices;0
Health Markets;1
Health Retreats;0
Hearing Aid Providers;0
Hearing Aids;0
Heating & Air Conditioning/HVAC;0
Henna Artists;0
Hepatologists;0
Herbal Shops;0
Herbs & Spices;0
High Fidelity Audio Equipment;0
Hiking;0
Himalayan/Nepalese;1
Hindu Temples;0
Historical Tours;0
Hobby Shops;0
Hockey Equipment;0
Holiday Decorating Services;0
Holiday Decorations;0
Holistic Animal Care;0
Home & Garden;0
Home & Rental Insurance;0
Home Automation;0
Home Cleaning;0
Home Decor;0
Home Developers;0
Home Energy Auditors;0
Home Health Care;0
Home Inspectors;0
Home Network Installation;0
Home Organization;0
Home Services;0
Home Staging;0
Home Theatre Installation;0
Home Window Tinting;0
Homeless Shelters;0
Homeopathic;0
Homeowner Association;0
Honduran;1
Honey;0
Hong Kong Style Cafe;1
Hookah Bars;1
Horse Boarding;0
Horse Equipment Shops;0
Horse Racing;0
Horseback Riding;0
Hospice;0
Hospitals;0
Hostels;0
Hot Air Balloons;0
Hot Dogs;1
Hot Pot;1
Hot Tub & Pool;0
Hotel bar;0
Hotels;0
Hotels & Travel;0
House Sitters;0
Hungarian;1
Hunting & Fishing Supplies;0
Hybrid Car Repair;0
Hydro-jetting;0
Hydroponics;0
Hydrotherapy;0
Hypnosis/Hypnotherapy;0
Iberian;1
Ice Cream & Frozen Yogurt;1
Ice Delivery;1
Immigration Law;0
Immunodermatologists;0
Imported Food;1
Indian;1
Indonesian;1
Indoor Landscaping;0
Indoor Playcentre;0
Infectious Disease Specialists;0
Installment Loans;0
Insulation Installation;0
Insurance;0
Interior Design;0
Interlock Systems;0
Internal Medicine;0
International;1
International Grocery;1
Internet Cafes;0
Internet Service Providers;0
Interval Training Gyms;0
Investing;0
IP & Internet Law;0
Irish;1
Irish Pub;1
Irrigation;0
Island Pub;1
IT Services & Computer Repair;0
Italian;1
IV Hydration;0
Izakaya;0
Jails & Prisons;0
Japanese;1
Japanese Curry;1
Japanese Sweets;1
Jazz & Blues;0
Jet Skis;0
Jewelry;0
Jewelry Repair;0
Juice Bars & Smoothies;1
Junk Removal & Hauling;0
Junkyards;0
Karaoke;0
Karate;0
Kebab;1
Keys & Locksmiths;0
Kickboxing;0
Kids Activities;0
Kids Hair Salons;0
Kiosk;0
Kitchen & Bath;1
Kitchen Incubators;0
Kitchen Supplies;1
Knife Sharpening;0
Knitting Supplies;0
Kombucha;1
Korean;1
Kosher;0
Laboratory Testing;0
Lactation Services;0
Lakes;0
LAN Centers;0
Land Surveying;0
Landmarks & Historical Buildings;0
Landscape Architects;0
Landscaping;0
Language Schools;0
Laotian;1
Laser Eye Surgery/Lasik;0
Laser Hair Removal;0
Laser Tag;0
Latin American;1
Laundromat;0
Laundry Services;0
Lawn Services;0
Lawyers;0
Leather Goods;0
Lebanese;1
Legal Services;0
Leisure Centers;0
Libraries;0
Lice Services;0
Life Coach;0
Life Insurance;0
Lighting Fixtures & Equipment;0
Lighting Stores;0
Limos;0
Linens;0
Lingerie;0
Live/Raw Food;1
Livestock Feed & Supply;0
Local Fish Stores;0
Local Flavor;1
Local Services0;0
Lounges;0
Luggage;0
Luggage Storage;0
Macarons;1
Machine & Tool Rental;0
Machine Shops;0
Magicians;0
Mags;0
Mailbox Centers;0
Makerspaces;0
Makeup Artists;0
Malaysian;1
Marinas;0
Market Stalls;0
Marketing;0
Martial Arts;0
Masonry/Concrete;0
Mass Media;0
Massage;0
Massage Schools;0
Massage Therapy;0
Matchmakers;0
Maternity Wear;0
Mattresses;0
Mauritius;0
Meaderies;0
Meat Shops;0
Mediators;0
Medical Cannabis Referrals;0
Medical Centers;0
Medical Foot Care;0
Medical Law;0
Medical Spas;0
Medical Supplies;0
Medical Transportation;0
Meditation Centers;0
Mediterranean;1
Memory Care;0
Men's Clothing;0
Men's Hair Salons;0
Metal Fabricators;0
Metro Stations;0
Mexican;1
Middle Eastern;1
Middle Schools & High Schools;0
Midwives;0
Military Surplus;0
Milkshake Bars;1
Minho;1
Mini Golf;0
Misting System Services;0
Mobile Clinics;0
Mobile Dent Repair;0
Mobile Home Dealers;0
Mobile Home Parks;0
Mobile Home Repair;0
Mobile Phone Accessories;0
Mobile Phone Repair;0
Mobile Phones;0
Mobility Equipment Sales & Services;0
Modern European;1
Mongolian;1
Montessori Schools;0
Moroccan;1
Mortgage Brokers;0
Mortgage Lenders;0
Mortuary Services;0
Mosques;0
Motorcycle Dealers;0
Motorcycle Gear;0
Motorcycle Parts & Supplies;0
Motorcycle Rental;0
Motorcycle Repair;0
Motorsport Vehicle Dealers;0
Motorsport Vehicle Repairs;0
Mountain Biking;0
Movers;0
Muay Thai;0
Municipality;0
Museums;0
Music & DVDs;0
Music & Video;0
Music Production Services;0
Music Venues;0
Musical Instrument Services;0
Musical Instruments & Teachers;0
Musicians;0
Nail Salons;0
Nail Technicians;0
Nanny Services;0
Natural Gas Suppliers;0
Naturopathic/Holistic;0
Nephrologists;0
Neurologist;0
Neuropathologists;0
Neurotologists;0
New Mexican Cuisine;1
Newspapers & Magazines;0
Nicaraguan;1
Nightlife;0
Noodles;1
Notaries;0
Nudist;0
Nurse Practitioner;0
Nurseries & Gardening;0
Nursing Schools;0
Nutritionists;0
Oaxacan;1
Observatories;0
Obstetricians & Gynecologists;0
Occupational Therapy;0
Office Cleaning;0
Office Equipment;0
Officiants;0
Oil Change Stations;0
Olive Oil;0
Oncologist;0
Opera & Ballet;0
Ophthalmologists;0
Optometrists;0
Oral Surgeons;0
Organic Stores;1
Orthodontists;0
Orthopedists;0
Orthotics;0
Osteopathic Physicians;0
Osteopaths;0
Otologists;0
Outdoor Furniture Stores;0
Outdoor Gear;0
Outdoor Movies;0
Outdoor Power Equipment Services;0
Outlet Stores;0
Oxygen Bars;0
Packing Services;0
Packing Supplies;0
Paddleboarding;0
Pain Management;0
Paint & Sip;0
Paint Stores;0
Paintball;0
Painters;0
Paint-Your-Own Pottery;0
Pakistani;1
Pan Asian;1
Pancakes;1
Paragliding;0
Parenting Classes;0
Parking;0
Parks;0
Party & Event Planning;1
Party Bike Rentals;0
Party Bus Rentals;0
Party Characters;0
Party Equipment Rentals;0
Party Supplies;0
Passport & Visa Services;0
Pasta Shops;0
Patent Law;0
Pathologists;0
Patio Coverings;0
Patisserie/Cake Shop;1
Pawn Shops;0
Payroll Services;0
Pediatric Dentists;0
Pediatricians;0
Pedicabs;0
Performing Arts;0
Perfume;0
Periodontists;0
Permanent Makeup;0
Persian/Iranian;1
Personal Assistants;0
Personal Care Services;0
Personal Chefs;1
Personal Injury Law;0
Personal Shopping;0
Peruvian;0
Pest Control;0
Pet Adoption;0
Pet Boarding;0
Pet Breeders;0
Pet Cremation Services;0
Pet Groomers;0
Pet Hospice;0
Pet Insurance;0
Pet Photography;0
Pet Services;0
Pet Sitting;0
Pet Stores;0
Pet Training;0
Pet Transportation;0
Pet Waste Removal;0
Pets;0
Petting Zoos;0
Pharmacy;0
Phlebologists;0
Photo Booth Rentals;0
Photographers;0
Photography Classes;0
Photography Stores & Services;0
Physical Therapy;0
Piano Bars;0
Piano Services;0
Piano Stores;0
Pick Your Own Farms;0
Pickleball;0
Piercing;0
Pilates;0
Pita;1
Pizza;1
Placenta Encapsulations;0
Planetarium;0
Plastic Surgeons;0
Playgrounds;0
Playsets;0
Plumbing;0
Plus Size Fashion;0
Podiatrists;0
Poke;1
Pole Dancing Classes;0
Police Departments;0
Polish;1
Polynesian;1
Pool & Billiards;0
Pool & Hot Tub Service;0
Pool Cleaners;0
Pool Halls;0
Popcorn Shops;1
Pop-Up Restaurants;1
Pop-up Shops;1
Portable Toilet Services;0
Portuguese;1
Post Offices;0
Poutineries;1
Powder Coating;0
Prenatal/Perinatal Care;0
Preschools;0
Pressure Washers;0
Pretzels;1
Preventive Medicine;0
Print Media;0
Printing Services;0
Private Investigation;0
Private Jet Charter;0
Private Schools;0
Private Tutors;0
Process Servers;0
Proctologists;0
Product Design;0
Professional Services;0
Professional Sports Teams;0
Propane;0
Property Management;0
Props;0
Prosthetics;0
Prosthodontists;0
Psychiatrists;0
Psychic Mediums;0
Psychics;0
Psychologists;0
Pub Food;1
Public Adjusters;0
Public Art;0
Public Markets;0
Public Relations;0
Public Services & Government;0
Public Transportation;0
Pubs;1
Puerto Rican;1
Pulmonologist;0
Pumpkin Patches;0
Qi Gong;0
Race Tracks;0
Races & Competitions;0
Racing Experience;0
Radio Stations;0
Radiologists;0
Rafting/Kayaking;0
Ramen;1
Ranches;0
Real Estate;0
Real Estate Agents;0
Real Estate Law;0
Real Estate Photography;0
Real Estate Services;0
Recording & Rehearsal Studios;0
Recreation Centers;0
Recycling Center;0
Refinishing Services;0
Reflexology;0
Registration Services;0
Registry Office;0
Rehabilitation Center;0
Reiki;0
Religious Items;0
Religious Organizations;0
Religious Schools;0
Reproductive Health Services;0
Reptile Shops;0
Resorts;0
Rest Stops;0
Restaurant Supplies;1
Restaurants;1
Retina Specialists;0
Retirement Homes;0
Reunion;0
Rheumatologists;0
Roadside Assistance;0
Rock Climbing;0
Rodeo;0
Rolfing;0
Roof Inspectors;0
Roofing;1
Rotisserie Chicken;1
Rugs;0
Russian;1
RV Dealers;0
RV Parks;0
RV Rental;0
RV Repair;0
Safe Stores;0
Safety Equipment;0
Sailing;0
Salad;1
Salvadoran;1
Sandblasting;0
Sandwiches;1
Sauna Installation & Repair;0
Saunas;0
Scandinavian;1
Scavenger Hunts;0
Scooter Rentals;0
Scooter Tours;0
Scottish;0
Screen Printing;0
Screen Printing/T-Shirt Printing;0
Scuba Diving;0
Seafood;1
Seafood Markets;0
Security Services;0
Security Systems;0
Self Storage;0
Self-defense Classes;0
Senegalese;1
Senior Centers;0
Septic Services;0
Service Stations;0
Session Photography;0
Sewing & Alterations;0
Sex Therapists;0
Shades & Blinds;0
Shanghainese;0
Shared Office Spaces;0
Shaved Ice;1
Shaved Snow;1
Sheds & Outdoor Storage;0
Shipping Centers;0
Shoe Repair;0
Shoe Shine;0
Shoe Stores;0
Shopping;0
Shopping Centers;0
Shredding Services;0
Shutters;0
Sicilian;1
Siding;0
Signature Cuisine;1
Signmaking;0
Sikh Temples;0
Silent Disco;0
Singaporean;1
Skate Parks;0
Skate Shops;0
Skating Rinks;0
Ski & Snowboard Shops;0
Ski Resorts;0
Ski Schools;0
Skiing;0
Skilled Nursing;0
Skin Care;0
Skydiving;0
Sledding;0
Sleep Specialists;0
Slovakian;1
Smog Check Stations;0
Smokehouse;0
Snorkeling;0
Snow Removal;0
Soba;0
Soccer;0
Social Clubs;0
Social Security Law;0
Software Development;0
Solar Installation;0
Solar Panel Cleaning;0
Soul Food;1
Soup;1
South African;1
Southern;0
Souvenir Shops;0
Spanish;1
Speakeasies;0
Special Education;0
Specialty Food;1
Specialty Schools;0
Speech Therapists;0
Speech Training;0
Spin Classes;0
Spine Surgeons;0
Spiritual Shop;0
Sport Equipment Hire;0
Sporting Goods;0
Sports Bars;1
Sports Betting;0
Sports Clubs;0
Sports Medicine;0
Sports Psychologists;0
Sports Wear;0
Spray Tanning;0
Squash;0
Sri Lankan;1
Stadiums & Arenas;0
Steakhouses;1
Stonemasons;0
Storefront Clinics;0
Street Art;0
Street Vendors;1
Strip Clubs;0
Striptease Dancers;0
Structural Engineers;0
Stucco Services;0
Studio Taping;0
Sugar Shacks;0
Sugaring;0
Summer Camps;0
Sunglasses;0
Supernatural Readings;0
Supper Clubs;0
Surf Schools;0
Surf Shop;0
Surfing;0
Surgeons;0
Sushi Bars;1
Swimming Lessons/Schools;0
Swimming Pools;0
Swimwear;0
Swiss Food;1
Synagogues;1
Syrian;1
Szechuan;1
Tabletop Games;0
Tableware;0
Tacos;1
Taekwondo;0
Tai Chi;0
Taiwanese;1
Talent Agencies;0
Tanning;0
Tanning Beds;0
Tapas Bars;1
Tapas/Small Plates;1
Tasting Classes;0
Tattoo;0
Tattoo Removal;0
Tax Law;0
Tax Services;0
Taxidermy;0
Taxis;0
Tea Rooms;0
Teacher Supplies;0
Team Building Activities;0
Teeth Whitening;0
Telecommunications;0
Television Service Providers;0
Television Stations;0
Tempura;1
Tenant and Eviction Law;0
Tennis;0
Teppanyaki;1
Test Preparation;0
Tex-Mex;1
Thai;1
Themed Cafes;1
Threading Services;0
Thrift Stores;0
Ticket Sales;0
Tickets;0
Tiki Bars;0
Tiling;0
Tires;0
Title Loans;0
Tobacco Shops;0
Tonkatsu;1
Tours;0
Towing;0
Town Car Service;0
Town Hall;0
Toxicologists;0
Toy Stores;0
Traditional Chinese Medicine;0
Traditional Clothing;0
Traffic Schools;0
Traffic Ticketing Law;0
Trailer Dealers;0
Trailer Rental;0
Trailer Repair;0
Train Stations;0
Trainers;0
Trains;0
Trampoline Parks;0
Translation Services;0
Transmission Repair;0
Transportation;0
Travel Agents;0
Travel Services;0
Tree Services;0
Trinidadian;1
Trivia Hosts;0
Trophy Shops;0
Truck Rental;0
Trusts;0
Tubing;0
Tui Na;0
Turkish;1
Tuscan;0
Tutoring Centers;0
TV Mounting;0
Udon;1
Ukrainian;1
Ultrasound Imaging Centers;0
Undersea/Hyperbaric Medicine;0
Uniforms;0
University Housing;0
Unofficial Yelp Events;0
Urgent Care;0
Urologists;0
Used;0
Used Bookstore;0
Used Car Dealers;0
Utilities;0
Uzbek;1
Vacation Rental Agents;0
Vacation Rentals;0
Valet Services;0
Vape Shops;1
Vascular Medicine;0
Vegan;1
Vegetarian;1
Vehicle Shipping;0
Vehicle Wraps;0
Venezuelan;1
Venues & Event Spaces;1
Veterans Organizations;0
Veterinarians;0
Video Game Stores;0
Video/Film Production;0
Videographers;0
Videos & Video Game Rental;0
Vietnamese;1
Vintage & Consignment;0
Vinyl Records;0
Virtual Reality Centers;0
Visitor Centers;0
Vitamins & Supplements;0
Vocal Coach;0
Vocational & Technical School;0
Waffles;1
Waldorf Schools;0
Walk-in Clinics;0
Walking Tours;0
Wallpapering;0
Watch Repair;0
Watches;0
Water Delivery;0
Water Heater Installation/Repair;0
Water Parks;0
Water Purification Services;0
Water Stores;0
Water Suppliers;0
Waterproofing;0
Waxing;0
Web Design;0
Wedding Chapels;0
Wedding Planning;1
Weight Loss Centers;0
Well Drilling;0
Wheel & Rim Repair;0
Whiskey Bars;1
Wholesale Stores;0
Wholesalers;0
Wigs;0
Wildlife Control;0
Wildlife Hunting Ranges;0
Wills;0
Window Washing;0
Windows Installation;0
Windshield Installation & Repair;0
Wine & Spirits;1
Wine Bars;1
Wine Tasting Classes;0
Wine Tasting Room;0
Wine Tours;0
Wineries;0
Women's Clothing;0
Workers Compensation Law;0
Wraps;1
Yelp Events;0
Yoga;0
Ziplining;0
Zoos;0
